Year_name,,NG_extraction,Wind_PP,Hydro_PP
2021,103,5810.896726053874,2233.11,15549.317647058822
2021,104,6086.631639374973,1282.38,15934.644385026739
2021,105,5768.645235063085,773.85,17298.277304942523
2021,106,5465.973701694352,884.4,14132.681248506482
2021,107,5231.807484014152,1370.82,11355.119695888157
2021,108,5050.466112627493,1680.36,9523.112099451178
2021,109,4935.161566968946,1945.6799999999996,7913.541172884147
2021,110,4848.683157469876,2144.67,10676.526505861271
2021,111,4787.828154244166,1945.6799999999996,13949.167256103372
2021,112,4767.8804274801605,1857.24,17242.521948077134
2021,113,4833.069000234651,1790.91,18479.413849143843
2021,114,4915.944142522416,1835.13,18705.923185206055
2021,115,5042.058489814875,2122.5599999999995,18039.493382432862
2021,116,5058.873735950429,3117.5099999999998,16249.20303844248
2021,117,4947.172456992869,4709.43,14346.91572086313
