Year_name,,CHP_PP
2021,103,5618.066909936387
2021,104,5893.801823257486
2021,105,5575.815418945598
2021,106,5273.143885576865
2021,107,5038.977667896665
2021,108,4857.636296510006
2021,109,4742.331750851459
2021,110,4655.853341352389
2021,111,4594.998338126679
2021,112,4575.050611362673
2021,113,4640.239184117164
2021,114,4723.114326404929
2021,115,4849.228673697388
2021,116,4866.043919832942
2021,117,4754.342640875382
2021,118,4675.070765798921
2021,119,4614.474539878711
2021,120,4486.149112280989
2021,121,4407.771985696863
2021,122,4403.138499634155
2021,123,4452.693069424281
2021,124,4526.986821779242
2021,125,4650.10167202616
2021,126,4938.363036682846
2021,127,5618.066909936387
2021,128,5893.801823257486
2021,129,5575.815418945598
2021,130,5273.143885576865
2021,131,5038.977667896665
2021,132,4857.636296510006
2021,133,4742.331750851459
2021,134,4655.853341352389
2021,135,4594.998338126679
2021,136,4575.050611362673
2021,137,4640.239184117164
2021,138,4723.114326404929
2021,139,4849.228673697388
2021,140,4866.043919832942
2021,141,4754.342640875382
2021,142,4675.070765798921
2021,143,4614.474539878711
2021,144,4486.149112280989
2021,145,4407.771985696863
2021,146,4403.138499634155
2021,147,4452.693069424281
2021,148,4526.986821779242
2021,149,4650.10167202616
2021,150,4938.363036682846
2021,151,5618.066909936387
2021,152,5893.801823257486
2021,153,5575.815418945598
2021,154,5273.143885576865
2021,155,5038.977667896665
2021,156,4857.636296510006
2021,157,4742.331750851459
2021,158,4655.853341352389
2021,159,4594.998338126679
2021,160,4575.050611362673
2021,161,4640.239184117164
2021,162,4723.114326404929
2021,163,4849.228673697388
2021,164,4866.043919832942
2021,165,4754.342640875382
2021,166,4675.070765798921
2021,167,4614.474539878711
2021,168,4486.149112280989
2021,169,4407.771985696863
2021,170,4403.138499634155
2021,171,4452.693069424281
2021,172,4526.986821779242
2021,173,4650.10167202616
2021,174,4938.363036682846
2021,175,5618.066909936387
2021,176,5893.801823257486
2021,177,5575.815418945598
2021,178,5273.143885576865
2021,179,5038.977667896665
2021,180,4857.636296510006
2021,181,4742.331750851459
2021,182,4655.853341352389
2021,183,4594.998338126679
2021,184,4575.050611362673
2021,185,4640.239184117164
2021,186,4723.114326404929
2021,187,4849.228673697388
2021,188,4866.043919832942
2021,189,4754.342640875382
2021,190,4675.070765798921
2021,191,4614.474539878711
2021,192,4486.149112280989
2021,193,4407.771985696863
2021,194,4403.138499634155
2021,195,4452.693069424281
2021,196,4526.986821779242
2021,197,4650.10167202616
2021,198,4938.363036682846
2021,199,5618.066909936387
2021,200,5893.801823257486
2021,201,5575.815418945598
2021,202,5273.143885576865
2021,203,5038.977667896665
2021,204,4857.636296510006
2021,205,4742.331750851459
2021,206,4655.853341352389
2021,207,4594.998338126679
2021,208,4575.050611362673
2021,209,4640.239184117164
2021,210,4723.114326404929
2021,211,4849.228673697388
2021,212,4866.043919832942
2021,213,4754.342640875382
2021,214,4675.070765798921
2021,215,4614.474539878711
2021,216,4486.149112280989
2021,217,4407.771985696863
2021,218,4403.138499634155
2021,219,4452.693069424281
2021,220,4526.986821779242
2021,221,4650.10167202616
2021,222,4938.363036682846
2021,223,5618.066909936387
2021,224,5893.801823257486
2021,225,5575.815418945598
2021,226,5273.143885576865
2021,227,5038.977667896665
2021,228,4857.636296510006
2021,229,4742.331750851459
2021,230,4655.853341352389
2021,231,4594.998338126679
2021,232,4575.050611362673
2021,233,4640.239184117164
2021,234,4723.114326404929
2021,235,4849.228673697388
2021,236,4866.043919832942
2021,237,4754.342640875382
2021,238,4675.070765798921
2021,239,4614.474539878711
2021,240,4486.149112280989
2021,241,4407.771985696863
2021,242,4403.138499634155
2021,243,4452.693069424281
2021,244,4526.986821779242
2021,245,4650.10167202616
2021,246,4938.363036682846
2021,247,5618.066909936387
2021,248,5893.801823257486
2021,249,5575.815418945598
2021,250,5273.143885576865
2021,251,5038.977667896665
2021,252,4857.636296510006
2021,253,4742.331750851459
2021,254,4655.853341352389
2021,255,4594.998338126679
2021,256,4575.050611362673
2021,257,4640.239184117164
2021,258,4723.114326404929
2021,259,4849.228673697388
2021,260,4866.043919832942
2021,261,4754.342640875382
2021,262,4675.070765798921
2021,263,4614.474539878711
2021,264,4486.149112280989
2021,265,4407.771985696863
2021,266,4403.138499634155
2021,267,4452.693069424281
2021,268,4526.986821779242
2021,269,4650.10167202616
2021,270,4938.363036682846
2021,271,5618.066909936387
2021,272,5893.801823257486
2021,273,5575.815418945598
2021,274,5273.143885576865
2021,275,5038.977667896665
2021,276,4857.636296510006
2021,277,4742.331750851459
2021,278,4655.853341352389
2021,279,4594.998338126679
2021,280,4575.050611362673
2021,281,4640.239184117164
2021,282,4723.114326404929
2021,283,4849.228673697388
2021,284,4866.043919832942
2021,285,4754.342640875382
2021,286,4675.070765798921
2021,287,4614.474539878711
2021,288,4486.149112280989
2021,289,4407.771985696863
2021,290,4403.138499634155
2021,291,4452.693069424281
2021,292,4526.986821779242
2021,293,4650.10167202616
2021,294,4938.363036682846
2021,295,5618.066909936387
2021,296,5893.801823257486
2021,297,5575.815418945598
2021,298,5273.143885576865
2021,299,5038.977667896665
2021,300,4857.636296510006
2021,301,4742.331750851459
2021,302,4655.853341352389
2021,303,4594.998338126679
2021,304,4575.050611362673
2021,305,4640.239184117164
2021,306,4723.114326404929
2021,307,4849.228673697388
2021,308,4866.043919832942
2021,309,4754.342640875382
2021,310,4675.070765798921
2021,311,4614.474539878711
2021,312,4486.149112280989
2021,313,4407.771985696863
2021,314,4403.138499634155
2021,315,4452.693069424281
2021,316,4526.986821779242
2021,317,4650.10167202616
