Year_name,,Geo_PP,Solar_PP
2021,73,-0.0,-0.0
2021,74,-0.0,-0.0
2021,75,-0.0,-0.0
2021,76,-0.0,-0.0
2021,77,-0.0,-0.0
2021,78,-0.0,-0.0
2021,79,-0.0,-0.0
2021,80,123.60738679211863,-0.0
2021,81,-0.0,1263.69
2021,82,-0.0,3436.35
2021,83,-0.0,5342.97
2021,84,-0.0,7138.74
2021,85,-0.0,10841.13
2021,86,-0.0,7759.499999999998
2021,87,-0.0,1574.07
2021,88,-0.0,221.70000000000002
2021,89,-0.0,-0.0
2021,90,-0.0,-0.0
2021,91,-0.0,-0.0
2021,92,-0.0,-0.0
2021,93,-0.0,-0.0
2021,94,-0.0,-0.0
2021,95,-0.0,-0.0
2021,96,-0.0,-0.0
2021,97,-0.0,-0.0
2021,98,-0.0,-0.0
2021,99,-0.0,-0.0
2021,100,-0.0,-0.0
2021,101,-0.0,-0.0
2021,102,-0.0,-0.0
2021,103,229.4334459692618,-0.0
2021,104,1305.9009102621094,-0.0
2021,105,-0.0,1152.8399999999997
2021,106,-0.0,3879.749999999999
2021,107,-0.0,5875.05
2021,108,-0.0,7050.06
2021,109,-0.0,8513.28
2021,110,-0.0,6052.410000000001
2021,111,-0.0,3635.88
2021,112,-0.0,886.8000000000001
2021,113,-0.0,-0.0
2021,114,-0.0,-0.0
2021,115,-0.0,-0.0
2021,116,-0.0,-0.0
2021,117,-0.0,-0.0
2021,118,-0.0,-0.0
2021,119,-0.0,-0.0
2021,120,-0.0,-0.0
2021,121,-0.0,-0.0
2021,122,-0.0,-0.0
2021,123,-0.0,-0.0
2021,124,-0.0,-0.0
2021,125,-0.0,-0.0
2021,126,-0.0,-0.0
2021,127,-0.0,-0.0
2021,128,-0.0,-0.0
2021,129,-0.0,1175.01
2021,130,-0.0,3347.6699999999996
2021,131,-0.0,4899.57
2021,132,-0.0,6429.299999999999
2021,133,-0.0,6761.8499999999985
2021,134,-0.0,8446.77
2021,135,-0.0,5209.95
2021,136,-0.0,931.1400000000001
2021,137,-0.0,-0.0
2021,138,-0.0,-0.0
2021,139,-0.0,-0.0
2021,140,-0.0,-0.0
2021,141,-0.0,-0.0
2021,142,-0.0,-0.0
2021,143,-0.0,-0.0
2021,144,-0.0,-0.0
2021,145,-0.0,-0.0
2021,146,-0.0,-0.0
2021,147,-0.0,-0.0
2021,148,-0.0,-0.0
2021,149,-0.0,-0.0
2021,150,-0.0,-0.0
2021,151,-0.0,-0.0
2021,152,-0.0,-0.0
2021,153,-0.0,753.7800000000001
2021,154,-0.0,2372.19
2021,155,-0.0,5254.29
2021,156,-0.0,5897.22
2021,157,-0.0,5631.18
2021,158,-0.0,4145.79
2021,159,-0.0,2327.85
2021,160,-0.0,687.27
2021,161,-0.0,-0.0
2021,162,-0.0,-0.0
2021,163,-0.0,-0.0
2021,164,-0.0,-0.0
2021,165,-0.0,-0.0
2021,166,-0.0,-0.0
2021,167,-0.0,-0.0
2021,168,-0.0,-0.0
2021,169,-0.0,-0.0
2021,170,-0.0,-0.0
2021,171,-0.0,-0.0
2021,172,-0.0,-0.0
2021,173,-0.0,-0.0
2021,174,-0.0,-0.0
2021,175,-0.0,-0.0
2021,176,-0.0,-0.0
2021,177,-0.0,22.17
2021,178,-0.0,133.02
2021,179,-0.0,332.55
2021,180,-0.0,620.76
2021,181,-0.0,753.7800000000001
2021,182,-0.0,731.61
2021,183,-0.0,709.44
2021,184,-0.0,288.2099999999999
2021,185,-0.0,-0.0
2021,186,-0.0,-0.0
2021,187,-0.0,-0.0
2021,188,-0.0,-0.0
2021,189,-0.0,-0.0
2021,190,-0.0,-0.0
2021,191,-0.0,-0.0
2021,192,-0.0,-0.0
2021,193,-0.0,-0.0
2021,194,-0.0,-0.0
2021,195,-0.0,-0.0
2021,196,-0.0,-0.0
2021,197,-0.0,-0.0
2021,198,-0.0,-0.0
2021,199,230.7821993857815,-0.0
2021,200,451.06137609693087,-0.0
2021,201,-0.0,554.25
2021,202,-0.0,2305.6799999999994
2021,203,-0.0,5542.5
2021,204,-0.0,6096.750000000001
2021,205,-0.0,4278.81
2021,206,-0.0,3525.03
2021,207,-0.0,2616.0599999999995
2021,208,-0.0,864.63
2021,209,-0.0,-0.0
2021,210,-0.0,-0.0
2021,211,-0.0,-0.0
2021,212,-0.0,-0.0
2021,213,-0.0,-0.0
2021,214,-0.0,-0.0
2021,215,-0.0,-0.0
2021,216,-0.0,-0.0
2021,217,378.3950160230306,-0.0
2021,218,676.1356125292996,-0.0
2021,219,617.8020764516814,-0.0
2021,220,517.1855770871052,-0.0
2021,221,31.37549514562943,-0.0
2021,222,-0.0,-0.0
2021,223,-0.0,-0.0
2021,224,-0.0,-0.0
