Year_name,,Elec_transmission
2021,288,5901.0
2021,289,5433.0
2021,290,5138.0
2021,291,4980.0
2021,292,4913.0
2021,293,4882.0
2021,294,4953.0
2021,295,5065.0
2021,296,5388.0
2021,297,5958.0
2021,298,6297.0
2021,299,6531.0
2021,300,6585.0
2021,301,6423.0
2021,302,6326.0
2021,303,6196.0
2021,304,6149.0
2021,305,6401.0
2021,306,7103.0
2021,307,7332.0
2021,308,7195.0
2021,309,6825.0
2021,310,6504.0
2021,311,6041.0
2021,312,5495.0
2021,313,5024.0
2021,314,4738.0
2021,315,4587.0
2021,316,4498.0
2021,317,4465.0
2021,318,4538.0
2021,319,4558.0
2021,320,4750.0
2021,321,5254.0
2021,322,5736.0
2021,323,6105.0
2021,324,6282.0
2021,325,6068.0
2021,326,5868.0
2021,327,5779.0
2021,328,5728.0
2021,329,6119.0
2021,330,6904.0
2021,331,7219.0
2021,332,7230.0
2021,333,6947.0
2021,334,6547.0
2021,335,5904.0
2021,336,5310.0
2021,337,4925.0
2021,338,4751.0
2021,339,4666.0
2021,340,4645.0
2021,341,4765.0
2021,342,5238.0
2021,343,6068.0
2021,344,6990.0
2021,345,7564.0
2021,346,7702.0
2021,347,7787.0
2021,348,7610.0
2021,349,7448.0
2021,350,7516.0
2021,351,7384.0
2021,352,7348.0
2021,353,7517.0
2021,354,8131.0
2021,355,8377.0
2021,356,8271.0
2021,357,7942.0
2021,358,7484.0
2021,359,6650.0
2021,360,5876.0
2021,361,5423.0
2021,362,5143.0
2021,363,5022.0
2021,364,4974.0
2021,365,5056.0
2021,366,5442.0
2021,367,6194.0
2021,368,7078.0
2021,369,7552.0
2021,370,7699.0
2021,371,7854.0
2021,372,7697.0
2021,373,7591.0
2021,374,7710.0
2021,375,7612.0
2021,376,7525.0
2021,377,7596.0
2021,378,8100.0
2021,379,8296.0
2021,380,8170.0
2021,381,7819.0
2021,382,7332.0
2021,383,6480.0
2021,384,5753.0
2021,385,5343.0
2021,386,5120.0
2021,387,5003.0
2021,388,4964.0
2021,389,5050.0
2021,390,5411.0
2021,391,6106.0
2021,392,6940.0
2021,393,7338.0
2021,394,7405.0
2021,395,7441.0
2021,396,7193.0
2021,397,7028.0
2021,398,7148.0
2021,399,7062.0
2021,400,6981.0
2021,401,7091.0
2021,402,7762.0
2021,403,8052.0
2021,404,7932.0
2021,405,7607.0
2021,406,7136.0
2021,407,6390.0
2021,408,5709.0
2021,409,5302.0
2021,410,5083.0
2021,411,4951.0
2021,412,4940.0
2021,413,5014.0
2021,414,5416.0
2021,415,6084.0
2021,416,6979.0
2021,417,7368.0
2021,418,7394.0
2021,419,7446.0
2021,420,7195.0
2021,421,7023.0
2021,422,7150.0
2021,423,7047.0
2021,424,6940.0
2021,425,7106.0
2021,426,7767.0
2021,427,8007.0
2021,428,7908.0
2021,429,7604.0
2021,430,7144.0
2021,431,6384.0
2021,432,5736.0
2021,433,5324.0
2021,434,5072.0
2021,435,4982.0
2021,436,4963.0
2021,437,5052.0
2021,438,5457.0
2021,439,6160.0
2021,440,6955.0
2021,441,7343.0
2021,442,7366.0
2021,443,7400.0
2021,444,7137.0
2021,445,6957.0
2021,446,7038.0
2021,447,6912.0
2021,448,6761.0
2021,449,6853.0
2021,450,7476.0
2021,451,7666.0
2021,452,7566.0
2021,453,7258.0
2021,454,6904.0
2021,455,6279.0
2021,456,5682.0
2021,457,5248.0
2021,458,4975.0
2021,459,4839.0
2021,460,4763.0
2021,461,4747.0
2021,462,4838.0
2021,463,4963.0
2021,464,5347.0
2021,465,5935.0
2021,466,6204.0
2021,467,6317.0
2021,468,6371.0
2021,469,6188.0
2021,470,6041.0
2021,471,5961.0
2021,472,5868.0
2021,473,6134.0
2021,474,6893.0
2021,475,7119.0
2021,476,7016.0
2021,477,6649.0
2021,478,6289.0
2021,479,5816.0
2021,480,5305.0
2021,481,4895.0
2021,482,4620.0
2021,483,4450.0
2021,484,4377.0
2021,485,4366.0
2021,486,4442.0
2021,487,4439.0
2021,488,4541.0
2021,489,5071.0
2021,490,5510.0
2021,491,5858.0
2021,492,6020.0
