Year_name,,Elec_demand,Heat_demand
2021,330,11878.68,4070.642458953886
2021,331,11686.27,4173.299537649948
2021,332,11134.02,4186.987148004289
2021,333,11420.11,4096.062306932835
2021,334,11324.24,4031.535000620595
2021,335,10969.07,3982.209672721545
2021,336,10683.65,3877.752774656999
2021,337,10479.0,3813.953793617521
2021,338,10430.96,3810.182135962476
2021,339,10579.3,3850.519555771639
2021,340,11024.2,3910.994670188577
2021,341,12003.85,4011.210158289568
2021,342,12551.82,4245.85490912011
2021,343,12911.34,4799.133861948492
2021,344,12876.37,5023.582081391867
2021,345,12797.39,4764.741148281991
2021,346,12840.56,4518.366520119841
2021,347,12849.85,4327.755218928159
2021,348,12778.95,4180.143342619419
2021,349,12769.99,4086.285442453362
2021,350,12774.04,4015.892017121119
2021,351,12905.55,3966.356044495391
2021,352,12928.11,3950.11859490949
2021,353,12822.71,4003.182093131645
2021,354,12743.85,4070.642458953886
2021,355,12552.05,4173.299537649948
2021,356,12096.06,4186.987148004289
2021,357,12191.01,4096.062306932835
2021,358,11979.94,4031.535000620595
2021,359,11542.96,3982.209672721545
2021,360,11159.76,3877.752774656999
2021,361,11006.23,3813.953793617521
2021,362,10987.27,3810.182135962476
2021,363,11116.71,3850.519555771639
2021,364,11480.27,3910.994670188577
2021,365,12374.64,4011.210158289568
2021,366,12920.08,4245.85490912011
2021,367,13222.18,4799.133861948492
2021,368,13096.24,5023.582081391867
2021,369,12987.41,4764.741148281991
2021,370,12938.96,4518.366520119841
2021,371,12909.03,4327.755218928159
2021,372,12771.11,4180.143342619419
2021,373,12749.93,4086.285442453362
2021,374,12765.67,4015.892017121119
2021,375,13024.03,3966.356044495391
2021,376,13125.02,3950.11859490949
2021,377,13160.33,4003.182093131645
2021,378,13201.82,4070.642458953886
2021,379,12948.2,4173.299537649948
2021,380,12384.22,4186.987148004289
2021,381,12412.48,4096.062306932835
2021,382,12169.49,4031.535000620595
2021,383,11677.3,3982.209672721545
2021,384,11392.32,3877.752774656999
2021,385,11196.82,3813.953793617521
2021,386,11172.1,3810.182135962476
2021,387,11278.04,3850.519555771639
2021,388,11710.18,3910.994670188577
2021,389,12615.09,4011.210158289568
2021,390,13106.22,4245.85490912011
2021,391,13443.67,4799.133861948492
2021,392,13235.49,5023.582081391867
2021,393,13073.1,4764.741148281991
2021,394,13034.22,4518.366520119841
2021,395,13038.48,4327.755218928159
2021,396,12941.04,4180.143342619419
2021,397,12804.05,4086.285442453362
2021,398,12866.87,4015.892017121119
2021,399,13010.37,3966.356044495391
2021,400,13237.87,3950.11859490949
2021,401,13257.48,4003.182093131645
2021,402,13268.06,4070.642458953886
2021,403,12943.27,4173.299537649948
2021,404,12383.09,4186.987148004289
2021,405,12386.11,4096.062306932835
2021,406,12120.45,4031.535000620595
2021,407,11565.46,3982.209672721545
2021,408,11310.16,3877.752774656999
2021,409,11082.78,3813.953793617521
2021,410,11003.91,3810.182135962476
2021,411,11054.08,3850.519555771639
2021,412,11394.36,3910.994670188577
2021,413,12299.36,4011.210158289568
2021,414,12821.49,4245.85490912011
2021,415,13009.96,4799.133861948492
2021,416,12744.18,5023.582081391867
2021,417,12674.67,4764.741148281991
2021,418,12724.54,4518.366520119841
2021,419,12705.13,4327.755218928159
2021,420,12620.17,4180.143342619419
2021,421,12594.61,4086.285442453362
2021,422,12651.59,4015.892017121119
2021,423,12916.65,3966.356044495391
2021,424,12969.53,3950.11859490949
2021,425,12853.48,4003.182093131645
2021,426,12838.91,4070.642458953886
2021,427,12640.0,4173.299537649948
2021,428,12193.39,4186.987148004289
2021,429,12261.87,4096.062306932835
2021,430,12014.6,4031.535000620595
2021,431,11497.2,3982.209672721545
2021,432,11207.39,3877.752774656999
2021,433,10955.48,3813.953793617521
2021,434,10970.42,3810.182135962476
2021,435,11120.94,3850.519555771639
2021,436,11568.02,3910.994670188577
2021,437,12448.11,4011.210158289568
2021,438,12923.55,4245.85490912011
2021,439,13216.17,4799.133861948492
2021,440,13042.37,5023.582081391867
2021,441,13040.05,4764.741148281991
2021,442,13007.28,4518.366520119841
2021,443,12953.55,4327.755218928159
2021,444,12847.07,4180.143342619419
2021,445,12750.61,4086.285442453362
2021,446,12763.35,4015.892017121119
2021,447,12985.04,3966.356044495391
2021,448,13040.37,3950.11859490949
2021,449,12938.61,4003.182093131645
2021,450,12988.65,4070.642458953886
2021,451,12775.49,4173.299537649948
2021,452,12271.66,4186.987148004289
2021,453,12299.94,4096.062306932835
2021,454,12012.05,4031.535000620595
2021,455,11506.83,3982.209672721545
2021,456,11176.3,3877.752774656999
2021,457,10936.23,3813.953793617521
2021,458,10834.38,3810.182135962476
2021,459,10842.18,3850.519555771639
2021,460,10964.83,3910.994670188577
2021,461,11270.07,4011.210158289568
2021,462,11459.24,4245.85490912011
2021,463,11823.29,4799.133861948492
2021,464,11887.18,5023.582081391867
2021,465,11999.61,4764.741148281991
2021,466,12031.99,4518.366520119841
2021,467,12079.2,4327.755218928159
2021,468,12041.77,4180.143342619419
2021,469,11988.3,4086.285442453362
2021,470,12097.58,4015.892017121119
2021,471,12470.88,3966.356044495391
2021,472,12819.19,3950.11859490949
2021,473,12946.09,4003.182093131645
2021,474,12816.33,4070.642458953886
2021,475,12409.58,4173.299537649948
2021,476,11954.9,4186.987148004289
2021,477,12189.45,4096.062306932835
2021,478,12047.73,4031.535000620595
2021,479,11552.66,3982.209672721545
2021,480,11257.29,3877.752774656999
2021,481,11038.22,3813.953793617521
2021,482,10932.63,3810.182135962476
2021,483,10963.77,3850.519555771639
2021,484,11055.93,3910.994670188577
